x_mm,run_label,global_id,threshold_pe,mean_t_ps,rms_t_ps,eff,included
-400,Run 3,82,20,nan,nan,0.000000,False
-400,Run 3,83,20,nan,nan,0.000000,False
-400,Run 3,84,20,nan,nan,0.000000,False
-400,Run 3,85,20,nan,nan,0.000000,False
0,Run 4,16,20,nan,nan,0.020000,False
0,Run 4,17,20,nan,nan,0.005500,False
0,Run 4,18,20,nan,nan,0.008500,False
0,Run 4,19,20,nan,nan,0.009000,False
0,Run 4,20,20,nan,nan,0.088000,False
0,Run 4,21,20,nan,nan,0.050000,False
0,Run 4,22,20,nan,nan,0.097500,False
0,Run 4,23,20,nan,nan,0.057500,False
0,Run 4,24,20,nan,nan,0.238000,False
0,Run 4,25,20,nan,nan,0.486000,False
0,Run 4,26,20,nan,nan,0.121000,False
0,Run 4,27,20,nan,nan,0.256000,False
0,Run 4,28,20,nan,nan,0.111000,False
0,Run 4,29,20,nan,nan,0.777000,False
0,Run 4,30,20,nan,nan,0.683500,False
0,Run 4,31,20,nan,nan,0.905500,False
0,Run 4,32,20,nan,nan,0.877500,False
0,Run 4,33,20,nan,nan,0.876500,False
0,Run 4,34,20,4356.675,1020.005,0.994000,True
0,Run 4,35,20,nan,nan,0.980500,False
0,Run 4,36,20,3726.425,734.290,0.999000,True
0,Run 4,37,20,4182.619,1033.991,0.992500,True
0,Run 4,38,20,3437.068,599.139,0.999500,True
0,Run 4,39,20,2875.219,380.432,1.000000,True
0,Run 4,40,20,2744.277,347.045,1.000000,True
0,Run 4,41,20,2484.084,312.009,1.000000,True
0,Run 4,42,20,2636.093,376.905,1.000000,True
0,Run 4,43,20,2195.777,255.817,1.000000,True
0,Run 4,44,20,1938.479,214.880,1.000000,True
0,Run 4,45,20,1747.304,195.122,1.000000,True
0,Run 4,46,20,1550.227,160.307,1.000000,True
0,Run 4,47,20,1429.136,158.006,1.000000,True
0,Run 4,48,20,1179.939,128.032,1.000000,True
0,Run 4,49,20,938.331,99.162,1.000000,True
0,Run 4,50,20,753.053,83.274,1.000000,True
0,Run 4,51,20,754.605,81.048,1.000000,True
0,Run 4,52,20,938.604,98.559,1.000000,True
0,Run 4,53,20,1178.616,127.010,1.000000,True
0,Run 4,54,20,1422.712,157.177,1.000000,True
0,Run 4,55,20,1546.605,159.447,1.000000,True
0,Run 4,56,20,1741.993,191.868,1.000000,True
0,Run 4,57,20,1937.751,221.114,1.000000,True
0,Run 4,58,20,2204.756,254.764,1.000000,True
0,Run 4,59,20,2632.993,394.914,1.000000,True
0,Run 4,60,20,2473.299,305.087,1.000000,True
0,Run 4,61,20,2747.160,354.446,1.000000,True
