x_mm,run_label,threshold_pe,nearest_id,bin_center_ps,counts,counts_norm_per_ps,mean_ps,rms_ps,frac_excl,frac_overflow,n_in_range,n_overflow,n_below
0,Run 4,4,50,455.0,47,2.350000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,465.0,32,1.600000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,475.0,34,1.700000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,485.0,18,0.900000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,495.0,24,1.200000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,505.0,31,1.550000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,515.0,23,1.150000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,525.0,13,0.650000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,535.0,16,0.800000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,545.0,7,0.350000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,555.0,10,0.500000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,565.0,1,0.050000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,575.0,6,0.300000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,585.0,6,0.300000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,595.0,3,0.150000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,605.0,5,0.250000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,615.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,625.0,1,0.050000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,635.0,1,0.050000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,645.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,655.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,665.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,675.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,685.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,695.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,705.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,715.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,725.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,735.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,745.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,755.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,765.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,775.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,785.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,795.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,805.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,815.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,825.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,835.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
