replica,m1_lam,m1_chi2ndf,m1_ok,m2_ls,m2_ll,m2_As,m2_Al,m2_chi2ndf,m2_ok,m3_lam,m3_C,m3_chi2ndf,m3_ok,m4_lam,m4_chi2ndf,m4_ok
38,27.759,2205.21,1,8.13913,39.4099,2283.63,356.121,57.9502,1,20.2428,12.9333,747.575,1,39.0984,36.9861,1
39,27.6695,2929.42,1,8.12159,37.4213,2149.73,413.596,112.533,1,18.3729,14.4533,1136.78,1,38.5535,82.4696,1
40,31.1415,1595.54,1,8.67108,37.8342,2260.38,397.733,62.7106,1,20.8599,13.8401,906.102,1,37.3274,66.1577,1
41,28.8616,1145.96,1,9.57719,37.9622,1799.26,384.311,55.0573,1,21.8099,13.4275,524.657,1,35.6655,99.0252,1
42,28.8815,2571.64,1,8.79255,38.2181,2074.44,388.703,102.174,1,18.8648,14.2879,994.495,1,37.6877,96.8924,1
43,32.6916,704.917,1,11.3474,41.8347,1527.48,301.891,7.35298,1,24.0586,10.349,152.055,1,39.8523,19.9572,1
44,29.0762,2028.73,1,8.48679,38.9513,2169.08,375.84,85.578,1,21.0773,11.641,761.191,1,38.6495,69.7116,1
45,27.6021,3106.29,1,9.0073,40.0834,2279.39,345.258,82.4107,1,19.4332,12.8506,1405.9,1,39.3918,73.3823,1
46,28.8619,2798.31,1,8.10363,37.5035,2231.63,412.486,118.599,1,18.6856,14.0828,1221.46,1,37.3122,96.0996,1
47,28.7108,2570.17,1,9.11584,38.3133,2111.76,380.023,72.3476,1,17.6325,16.7039,1272.87,1,36.5603,94.6973,1
48,33.6598,640.41,1,12.7173,43.2149,1392.01,276.023,9.51859,1,23.6164,10.5656,212.743,1,37.0121,102.234,1
49,27.5199,3156.63,1,8.20805,38.423,2241.24,391.471,126.377,1,18.8114,13.0727,1317.15,1,39.7522,31.536,1
50,29.3679,1719.58,1,10.5151,40.6366,1736.05,326.513,32.3284,1,20.8984,12.8374,561.649,1,37.6488,88.8728,1
51,27.1816,2340.49,1,8.42566,36.8795,2057.84,418.698,93.4003,1,18.2977,17.6812,958.118,1,37.0902,73.4251,1
52,31.4732,1520.17,1,10.8544,41.5149,1721.01,310.881,36.6774,1,20.9801,12.1983,667.261,1,38.7554,89.4259,1
53,23.1715,2999.17,1,8.15704,36.8995,2161.18,412.71,104.215,1,17.4143,18.3262,1211.27,1,37.7672,49.6084,1
54,28.4681,2490.18,1,9.25346,38.5325,1986.3,380.396,57.7519,1,18.5762,14.5168,886.51,1,36.9598,85.9271,1
55,26.0602,3884.02,1,7.19858,38.3854,2412.45,399.16,121.107,1,18.3392,12.1386,1238.53,1,39.0921,90.0204,1
56,28.146,3111.42,1,9.487,39.9009,2012.12,353.381,57.1329,1,18.1468,12.9706,1155,1,38.9468,86.2342,1
57,26.0283,2065.93,1,9.95175,40.0048,1867.07,343.778,51.5446,1,20.2387,12.6273,935.648,1,38.9774,70.0431,1
58,26.6766,2929.58,1,7.70816,36.2788,2203.69,450.305,133.328,1,18.0705,14.6509,1284.5,1,36.617,123.291,1
59,33.535,659.37,1,12.4453,42.8757,1390.93,281.802,11.6893,1,23.9953,10.5286,225.909,1,37.4266,85.3211,1
60,29.0722,3050.75,1,8.42875,39.6341,2394.04,358.134,105.928,1,19.779,12.2558,1407.06,1,39.8272,50.725,1
61,32.8353,1323.19,1,10.9817,41.4609,1637.85,316.366,30.6265,1,21.6488,10.9588,421.585,1,38.0969,111.381,1
62,30.0083,2213.47,1,9.13207,39.1068,2055.87,368.697,89.6737,1,20.0449,12.8989,922.236,1,37.6739,99.3775,1
63,31.3382,1951.22,1,9.99325,40.5374,1839.41,337.922,52.5828,1,20.6976,11.4346,589.112,1,38.7852,87.381,1
64,28.7864,2312.78,1,9.09637,39.1604,2098.95,359.582,77.9444,1,19.3999,14.7613,1001.28,1,38.0081,61.1023,1
65,29.3673,2237.44,1,9.68326,39.9901,1994.99,347.443,61.3927,1,20.0992,12.2332,982.663,1,38.5071,96.3384,1
66,30.8697,1669.7,1,9.95084,40.2363,1869.7,341.082,53.3156,1,21.6205,11.535,681.608,1,38.4828,91.3814,1
67,26.9149,1981.76,1,8.78166,38.0417,2040.49,384.572,101.457,1,20.567,13.5777,940.34,1,38.2253,62.9694,1
68,29.5145,2488.43,1,8.97335,39.1506,2191.16,365.357,62.5215,1,19.6459,13.5318,1145.67,1,37.9326,67.4767,1
69,29.2544,2517.29,1,8.06743,37.1526,2301.44,418.749,117.196,1,19.3105,14.2402,1307.68,1,38.2593,85.4867,1
70,31.4892,1657.8,1,8.9834,39.1952,2309.64,361.524,58.015,1,21.892,12.1931,924.568,1,37.8757,78.6781,1
71,27.2942,2794.46,1,7.73947,37.6255,2317.51,400.497,97.6431,1,18.7519,15.0376,1150.46,1,37.2339,93.5851,1
72,28.4472,2038.57,1,8.37515,38.8857,2233.01,370.228,73.4322,1,21.1522,12.3316,950.823,1,38.5769,60.6736,1
73,27.0355,2935.75,1,7.99784,37.1024,2097.92,425.055,112.417,1,18.038,14.7567,1122.16,1,38.2591,89.0702,1
74,30.6093,1213.53,1,10.6469,41.0744,1682.5,319.428,26.3521,1,22.3182,11.5956,388.768,1,39.3827,47.9187,1
75,29.9895,1643.15,1,8.80707,38.164,2145.09,385.339,80.2113,1,20.7004,14.5307,761.513,1,37.4225,78.2065,1
76,32.3699,1408.14,1,8.68931,38.5149,2236.02,385.997,84.3285,1,22.3674,11.3724,743.96,1,37.0944,105.973,1
77,31.5786,1587.6,1,9.90651,39.6879,1963.58,349.802,46.4325,1,20.7029,13.1944,811.051,1,37.0367,98.1786,1
78,29.259,2524.88,1,9.18901,39.5119,1938.3,363.83,43.3139,1,19.5475,12.348,673.574,1,38.5378,61.8401,1
79,29.4922,2136.89,1,9.80026,39.6986,1785.13,358.78,62.032,1,19.9686,11.8909,673.693,1,38.1279,103.322,1
80,33.9642,1568.23,1,10.2732,40.933,1898.91,329.431,43.6725,1,20.8734,11.0486,589.319,1,38.7921,80.1033,1
81,28.3127,2424.68,1,9.44393,39.6544,1956.33,354.891,114.017,1,20.1186,12.3845,989.74,1,38.2666,115.267,1
82,30.7952,2281.23,1,9.95157,40.6919,2047.02,329.294,78.2285,1,20.0404,12.619,1098.87,1,39.1648,64.429,1
83,29.1927,2272.39,1,8.88156,39.3697,2096.43,360.081,90.471,1,20.3108,12.6543,824.566,1,38.5427,82.8475,1
84,27.8783,2418.28,1,9.55923,40.3901,2084.28,332.096,79.4304,1,20.3233,13.2044,1300.7,1,40.8374,28.5852,1
85,31.8673,2417.4,1,8.67214,38.3768,2086.77,395.424,98.3785,1,17.936,13.5253,853.292,1,38.0748,78.3794,1
86,31.0196,2172.97,1,9.05648,38.4794,2400.95,373.631,51.3625,1,18.0083,16.6378,1061.36,1,36.7497,63.3256,1
87,29.3397,1611.45,1,7.66187,36.6339,2293.93,427.248,84.1655,1,20.6414,14.3958,668.912,1,36.765,71.4225,1
88,31.4637,2203.61,1,8.93397,39.718,2164.47,360.177,86.1443,1,20.3384,11.5443,997.004,1,39.4217,68.2687,1
89,26.012,2775.49,1,8.49833,37.6641,2150.91,400.025,129.699,1,18.8165,14.5636,1283.64,1,37.5299,97.4349,1
90,25.1226,2091.46,1,8.61872,37.2869,2129.23,398.864,76.9637,1,19.157,17.1194,1072.48,1,36.4964,61.4903,1
91,27.314,2692.71,1,8.20248,37.265,2228.13,407.579,121.408,1,18.8062,15.6791,1246.92,1,38.1921,62.2771,1
92,29.0351,3396.93,1,7.72014,36.4696,2339.14,446.143,100.565,1,16.1092,16.4868,1318.69,1,36.8387,81.8715,1
93,30.2243,1518.48,1,10.7326,41.2965,1663.97,316.09,29.9615,1,22.1228,10.8126,441.49,1,38.605,91.5867,1
94,28.4099,2805.64,1,8.33205,37.9897,2249.21,396.654,123.732,1,19.3409,13.3341,1338.77,1,37.6321,115.667,1
95,27.1898,2197.61,1,8.83081,38.7685,2121.75,373.615,105.066,1,20.7217,11.8408,1052.09,1,37.5702,127.692,1
96,31.3613,994.858,1,10.6641,40.9486,1725.77,319.618,29.9084,1,23.3483,10.9016,363.579,1,37.9661,90.7365,1
97,28.3804,2210.78,1,9.61528,39.8215,2056.17,345.896,31.8184,1,19.968,13.888,967.087,1,38.4907,57.6836,1
98,22.6049,2983.27,1,7.00822,37.4778,2385.16,401.555,78.5234,1,17.9756,15.8,941.327,1,37.9274,70.0873,1
99,31.461,2390.95,1,8.97278,39.0633,2352.33,366.337,89.833,1,19.2359,13.7212,1242.66,1,37.6921,108.177,1
100,30.5862,2495.21,1,8.84494,39.1075,2023.14,374.242,105.737,1,19.3147,12.4187,861.345,1,39.2097,67.5892,1
101,31.0192,2111.73,1,8.57326,39.4675,2172.9,362.059,82.5788,1,20.4436,11.9546,815.949,1,38.6132,78.1909,1
102,28.4848,1816.77,1,8.85097,38.3934,2163.28,380.529,90.1101,1,21.1933,12.8284,934.446,1,37.8898,80.701,1
103,28.7998,4636.52,1,6.76651,37.3729,2510.77,431.172,121.522,1,16.2017,13.4077,1311.12,1,38.2279,110.346,1
104,30.357,2129.51,1,9.3889,39.018,1951.62,370.728,50.1232,1,19.3527,13.7527,823.721,1,37.5109,80.6273,1
105,30.795,1043.52,1,11.7546,41.6098,1446.94,306.194,13.4812,1,22.3906,11.6458,321.06,1,37.6241,78.3976,1
106,27.8105,2384.95,1,8.44071,36.4787,2123.12,427.52,66.7085,1,17.4513,19.5058,858.39,1,35.7871,54.8622,1
107,34.3453,925.217,1,10.4885,40.9272,1791.01,324.531,23.6739,1,23.0357,10.6497,352.914,1,38.3155,69.0555,1
108,27.6557,2990.11,1,8.76337,38.464,2141.27,382.556,88.4884,1,18.3977,14.354,1158.96,1,37.2303,103.551,1
