replica,m1_lam,m1_chi2ndf,m1_ok,m2_ls,m2_ll,m2_As,m2_Al,m2_chi2ndf,m2_ok,m3_lam,m3_C,m3_chi2ndf,m3_ok,m4_lam,m4_chi2ndf,m4_ok
18,273.368,2443.12,1,76.8181,350.266,2269.21,472.43,111.527,1,176.595,18.8669,1260.61,1,295.158,884.479,1
19,284.761,2958.74,1,94.7533,397.889,1963.72,356.452,100.652,1,187.795,12.9833,934.342,1,294.597,2431.47,1
20,289.605,2182.06,1,101.387,404.374,1846,334.753,41.3905,1,197.836,13.7348,846.95,1,296.419,1827.23,1
21,283.461,1831.65,1,97.9732,396.707,1829.43,351.242,57.5091,1,208.879,12.6425,704.965,1,290.147,1479.87,1
22,285.662,2042.3,1,84.4735,367.103,2154.7,422.278,70.1908,1,185.066,17.8437,897.021,1,301.027,1040.24,1
23,264.707,3131.17,1,88.8182,383.05,2332.32,378.626,94.8209,1,174.831,17.3554,1489.35,1,312.382,944.641,1
24,323.121,545.207,1,143.1,455.653,1142.91,236.722,5.33093,1,248.631,9.50088,92.9215,1,323.121,545.207,1
25,310.103,2367.8,1,95.5231,398.635,2084.97,349.329,90.5719,1,193.422,13.4113,1003.68,1,330.224,1223.31,1
26,320.614,838.344,1,99.8144,395.15,2021.25,347.622,26.4115,1,232.396,12.2716,450.381,1,331.533,293.311,1
27,297.128,2740.56,1,91.4532,389.758,2035.48,373.848,110.363,1,183.268,13.8033,1115.9,1,309.88,1795.67,1
28,299.631,2210.44,1,93.2853,400.385,2066.77,347.275,49.5468,1,204.658,12.2186,930.32,1,320.963,931.293,1
29,285.637,2186.47,1,84.6787,376.477,2126.59,407.162,102.375,1,195.761,13.8743,912.47,1,302.384,1184,1
30,248.335,2633.06,1,88.6409,384.247,2073.2,377.757,99.6362,1,191.063,14.847,1189.49,1,272.191,1716.84,1
31,288.122,2041.69,1,89.8395,387.889,2135.88,369.883,90.1351,1,208.892,13.5087,1132.76,1,299.593,1088.12,1
32,292.315,1751.33,1,98.6605,400.451,1916.44,341.393,63.2344,1,216.442,12.2503,883.059,1,307.29,932.311,1
33,311.771,1477.11,1,90.9105,395.537,2181.48,352.235,103.467,1,229.082,10.9388,765.55,1,321.528,798.377,1
34,295.22,2724.32,1,90.9846,399.432,2083.47,350.108,100.588,1,194.925,12.5903,1080.94,1,310.085,1819.5,1
35,286.141,2537.29,1,88.9882,380.472,2136.73,390.477,79.8552,1,184.235,15.6781,1180.95,1,312.86,1075.91,1
36,292.065,2450.08,1,85.4539,386.155,2157.17,379.157,98.0375,1,195.119,13.3391,946.517,1,317.313,1393.71,1
37,252.785,2793.07,1,79.1759,373.743,2257.59,413.969,124.143,1,191.098,13.7951,1307.31,1,274.877,1609.21,1
38,283.579,2323.84,1,84.4288,382.999,2232.76,382.68,74.3556,1,197.413,14.2814,992.995,1,311.812,911.451,1
39,298.704,2862.01,1,88.9656,392.075,2256.54,369.753,110.789,1,189.22,13.0968,1467.53,1,319.657,1181.55,1
40,302.798,2850.51,1,94.0998,395.444,1998.12,363.565,116.513,1,175.484,13.4096,1102.85,1,313.782,1899.03,1
41,268.656,3327.46,1,74.1964,376.254,2454.51,411.695,102.625,1,186.129,13.873,1377.52,1,303.226,1388.78,1
42,304.186,2137.9,1,102.009,404.048,1924.17,334.995,52.9967,1,195.506,13.3845,943.337,1,320.877,1228.44,1
43,285.016,1978.21,1,98.3506,389.123,1778.92,368.107,36.9304,1,191.509,14.8536,732.845,1,285.016,1978.21,1
44,279.083,2483.55,1,84.0896,375.606,2110.11,405.075,103.92,1,0.418957,22.9555,0,0,295.371,1577.98,1
45,278.44,2746.87,1,83.3014,381.871,2273.31,396.738,127.917,1,0.0183251,19.9474,0,0,300.453,1235.92,1
