x_true_mm,method,mean_x_rec,bias,sigma_core,rms,rms68,median,mad_sigma,fraction_outside_2sigma,fraction_outside_3sigma,valid_fraction
-600.0,dt_end_weighted,-607.0933131821072,-7.093313182107153,57.36405214965252,63.50088502605901,57.36405214965252,-598.1783519436156,58.89680784134562,0.069,0.0175,1.0
-600.0,R_end,-595.4004157405059,4.599584259494113,25.09065963878001,26.605878176438093,25.09065963878001,-593.6459519880724,25.3525151195811,0.057,0.008,1.0
-600.0,A_end,-543.18769442297,56.81230557702984,4.661367274902052,57.01306883356863,4.661367274902052,-543.2152533531403,4.713432144930674,0.057,0.0025,1.0
-600.0,x_top_centroid_raw,-604.5303180828707,-4.5303180828706155,4.428573125122596,6.383290673873573,4.428573125122596,-604.5750148462866,4.351711162039823,0.0535,0.0025,1.0
-600.0,local_R,-602.0887541264733,-2.0887541264733063,2.908312878486969,3.6175841873542454,2.908312878486969,-602.0480170217986,2.943996304010259,0.048,0.0055,1.0
-550.0,dt_end_pool,-547.2978074827125,2.7021925172874273,22.934351120540903,24.19894991539618,22.934351120540903,-545.2361636313399,22.472955016569006,0.063,0.008,1.0
-550.0,dt_end_weighted,-544.7737547020337,5.226245297966254,53.08938561170996,55.22506228011313,53.08938561170996,-538.2087201646955,53.35533957837633,0.0515,0.0115,1.0
-550.0,R_end,-531.6403261164104,18.35967388358955,23.757000463280594,30.12671901189689,23.757000463280594,-530.143263362181,23.269503532431827,0.051,0.0045,1.0
-550.0,A_end,-532.5150158584595,17.484984141540412,6.274457901569979,18.569002307509926,6.274457901569979,-532.5295620457206,6.144382221968543,0.0465,0.0015,1.0
-550.0,x_top_centroid_raw,-563.9868353325913,-13.986835332591367,4.276954920119578,14.66126782809201,4.276954920119578,-564.0085572680566,4.246480077514719,0.0555,0.005,1.0
-550.0,local_R,-545.7188808075268,4.28111919247311,2.945256077261281,5.514858376832064,2.945256077261281,-545.6537258470229,2.9739028591519983,0.071,0.0115,1.0
-500.0,dt_end_pool,-496.35654867353475,3.6434513264652586,21.319526083277538,22.93789680800873,21.319526083277538,-494.85995492214727,21.48337280286686,0.064,0.0105,1.0
-500.0,dt_end_weighted,-494.98166703295504,5.018332967044975,45.26944080637233,48.51199100249454,45.26944080637233,-490.72457159255373,44.63277512221488,0.061,0.014,1.0
-500.0,R_end,-477.70722495059294,22.292775049407066,22.133517824294625,31.892280997982272,22.133517824294625,-476.4574812323192,22.514797757423043,0.0445,0.0065,1.0
-500.0,A_end,-518.8353433840603,-18.835343384060256,7.861288019697714,20.468496134282756,7.861288019697714,-518.8788515469254,8.140863965153207,0.0485,0.005,1.0
-500.0,x_top_centroid_raw,-520.0309942406609,-20.030994240660874,4.323389153200247,20.505652634222667,4.323389153200247,-520.1499420133432,4.278511658600956,0.047,0.004,1.0
-500.0,local_R,-502.1111147668624,-2.1111147668623307,2.86613545099684,3.62883498372863,2.86613545099684,-502.13146065003366,2.9488837175738243,0.05,0.006,1.0
-450.0,dt_end_pool,-444.79095807652305,5.209041923476945,21.12997503030619,21.673789708074754,21.12997503030619,-443.0424971249543,20.842732788293354,0.038,0.0065,1.0
-450.0,dt_end_weighted,-442.5537801960798,7.44621980392022,42.16726675581138,44.3877737378275,42.16726675581138,-437.87391334917857,42.11134770707207,0.056,0.012,1.0
-450.0,R_end,-424.3625226454225,25.63747735457749,21.97730695230114,33.79469051185304,21.97730695230114,-423.46510944283455,21.717349190947676,0.0485,0.005,1.0
