test_x,method,coefficients,train_positions
100.0,dt_end_weighted,"[91.25503484477075, 0.07640046143275936]",30
100.0,R_end,"[-167.15143740164683, -0.4467596764389296]",30
100.0,A_end,"[-580.9176594373987, 1.498527073667063]",30
100.0,x_top_centroid_raw,"[1.2329950383907615, 0.2572868887023365]",30
100.0,local_R,"[41.31671899208986, 0.0953020741212865]",30
150.0,dt_end_pool,"[126.53227440859506, -0.1396851924650232]",30
150.0,dt_end_weighted,"[91.24033274429155, -0.05709670541099788]",30
150.0,R_end,"[-167.12230336427925, -0.5605323461705263]",30
150.0,A_end,"[-581.8130439944664, 2.2541946255094025]",30
150.0,x_top_centroid_raw,"[1.2332015357688786, 0.37295331002372556]",30
150.0,local_R,"[40.049532855767204, -0.12267784397411938]",30
200.0,dt_end_pool,"[126.52577027037361, -0.15216569325134707]",30
200.0,dt_end_weighted,"[91.22912790179971, -0.07594049833335409]",30
200.0,R_end,"[-167.0936050758421, -0.6070662262372436]",30
200.0,A_end,"[-582.8713767279465, 2.8641465463754288]",30
200.0,x_top_centroid_raw,"[1.233457657317203, 0.46825926514991856]",30
200.0,local_R,"[41.2576207581179, 0.09417012471931525]",30
250.0,dt_end_pool,"[126.51714166966052, -0.17291206693839234]",30
250.0,dt_end_weighted,"[91.21709905321832, -0.09417771954606366]",30
250.0,R_end,"[-167.05647186644924, -0.6774550338734752]",30
250.0,A_end,"[-583.7264937021332, 3.1508546537237603]",30
250.0,x_top_centroid_raw,"[1.2338114826408626, 0.5816205893225397]",30
250.0,local_R,"[40.11146134042757, -0.12407567061180351]",30
300.0,dt_end_pool,"[126.49987133867535, -0.23215576522295026]",30
300.0,dt_end_weighted,"[91.2041222759423, -0.11308608016135686]",30
300.0,R_end,"[-166.97983407423087, -0.8985713546929855]",30
300.0,A_end,"[-583.9849422343048, 2.9856408537601866]",30
300.0,x_top_centroid_raw,"[1.2342087070838887, 0.6793600888131482]",30
300.0,local_R,"[41.24176582230316, 0.09223276182942929]",30
350.0,dt_end_pool,"[126.49032524367914, -0.23918404914824168]",30
350.0,dt_end_weighted,"[91.18038538881083, -0.19680615383108757]",30
350.0,R_end,"[-166.91646440480264, -1.0011316862228343]",30
350.0,A_end,"[-583.9518600746986, 2.6680937772199345]",30
350.0,x_top_centroid_raw,"[1.2345936542243887, 0.7461943610901569]",30
350.0,local_R,"[40.0398233249629, -0.12028482569501725]",30
400.0,dt_end_pool,"[126.48661055146718, -0.22148598156775148]",30
400.0,dt_end_weighted,"[91.1862310305466, -0.09033785327355578]",30
400.0,R_end,"[-166.878725923, -0.9896069739227241]",30
400.0,A_end,"[-583.5074111883246, 2.1524425107063867]",30
400.0,x_top_centroid_raw,"[1.2348462476903606, 0.7513933080194919]",30
400.0,local_R,"[41.21907599258223, 0.0918779713351797]",30
450.0,dt_end_pool,"[126.48004045841142, -0.21777809859269648]",30
450.0,dt_end_weighted,"[91.1937717093995, -0.0019481366624291322]",30
450.0,R_end,"[-166.86066526878272, -0.9244277338552533]",30
450.0,A_end,"[-582.5476875627633, 1.3988782985593191]",30
450.0,x_top_centroid_raw,"[1.235039609314588, 0.7369104802221685]",30
450.0,local_R,"[40.0605417952262, -0.12116867325853274]",30
500.0,dt_end_pool,"[126.49904629023148, -0.13564049471053313]",30
500.0,dt_end_weighted,"[91.22344704153798, 0.16280665869078237]",30
500.0,R_end,"[-166.869521105992, -0.8065709806619512]",30
500.0,A_end,"[-581.0920203498938, 0.4284826414056469]",30
500.0,x_top_centroid_raw,"[1.2349983120007995, 0.6575354772891697]",30
500.0,local_R,"[41.26988272255501, 0.09558924305214933]",30
550.0,dt_end_pool,"[126.51620180087514, -0.07442046421853461]",30
550.0,dt_end_weighted,"[91.21498331829632, 0.14692567078841798]",30
550.0,R_end,"[-166.90879317765226, -0.6457822538079884]",30
550.0,A_end,"[-579.1941413325417, -0.7311421610629308]",30
550.0,x_top_centroid_raw,"[1.2344445851497459, 0.4537865686926365]",30
550.0,local_R,"[40.09914718332373, -0.11971470225460985]",30
600.0,dt_end_pool,"[126.5967612211597, 0.13563556988385325]",30
600.0,dt_end_weighted,"[91.3284808392088, 0.561026830400447]",30
600.0,R_end,"[-167.08724243228687, -0.24221594815588507]",30
600.0,A_end,"[-576.9921419794243, -2.007155914525702]",30
600.0,x_top_centroid_raw,"[1.2333722075832105, 0.14761423148006592]",30
600.0,local_R,"[41.247874635239725, 0.09461452941603181]",30
650.0,dt_end_pool,"[126.63907512372887, 0.22333203216906675]",30
650.0,dt_end_weighted,"[91.39787883407699, 0.7636624849961737]",30
650.0,R_end,"[-167.52312804111708, 0.5254164684019393]",30
