material_code,material,variable,selection_code,selection,bin_low,bin_high,bin_center,count,density
0,EJ-200,rho_detour,0,first,4.81494697177,4.88187586601,4.84841141889,0,0
0,EJ-200,rho_detour,0,first,4.88187586601,4.94880476025,4.91534031313,0,0
0,EJ-200,rho_detour,0,first,4.94880476025,5.01573365449,4.98226920737,0,0
0,EJ-200,rho_detour,0,first,5.01573365449,5.08266254873,5.04919810161,0,0
0,EJ-200,rho_detour,0,first,5.08266254873,5.14959144297,5.11612699585,0,0
0,EJ-200,rho_detour,0,first,5.14959144297,5.21652033722,5.1830558901,0,0
0,EJ-200,rho_detour,0,first,5.21652033722,5.28344923146,5.24998478434,0,0
0,EJ-200,rho_detour,0,first,5.28344923146,5.3503781257,5.31691367858,0,0
0,EJ-200,rho_detour,0,first,5.3503781257,5.41730701994,5.38384257282,0,0
0,EJ-200,rho_detour,0,first,5.41730701994,5.48423591418,5.45077146706,0,0
0,EJ-200,rho_detour,0,first,5.48423591418,5.55116480842,5.5177003613,0,0
0,EJ-200,rho_detour,0,first,5.55116480842,5.61809370267,5.58462925554,0,0
0,EJ-200,rho_detour,0,first,5.61809370267,5.68502259691,5.65155814979,0,0
0,EJ-200,rho_detour,0,first,5.68502259691,5.75195149115,5.71848704403,0,0
0,EJ-200,rho_detour,0,first,5.75195149115,5.81888038539,5.78541593827,0,0
0,EJ-200,rho_detour,0,first,5.81888038539,5.88580927963,5.85234483251,0,0
0,EJ-200,rho_detour,0,first,5.88580927963,5.95273817387,5.91927372675,0,0
0,EJ-200,rho_detour,0,first,5.95273817387,6.01966706811,5.98620262099,0,0
0,EJ-200,rho_detour,0,first,6.01966706811,6.08659596236,6.05313151524,0,0
0,EJ-200,rho_detour,0,first,6.08659596236,6.1535248566,6.12006040948,0,0
0,EJ-200,rho_detour,0,first,6.1535248566,6.22045375084,6.18698930372,0,0
0,EJ-200,rho_detour,0,first,6.22045375084,6.28738264508,6.25391819796,0,0
0,EJ-200,rho_detour,0,first,6.28738264508,6.35431153932,6.3208470922,0,0
0,EJ-200,rho_detour,1,random,1,1.06692889424,1.03346444712,26260,2.80254784868
0,EJ-200,rho_detour,1,random,1.06692889424,1.13385778848,1.10039334136,17285,1.84470828502
0,EJ-200,rho_detour,1,random,1.13385778848,1.20078668272,1.1673222356,13084,1.39636466307
0,EJ-200,rho_detour,1,random,1.20078668272,1.26771557697,1.23425112985,11120,1.18676055131
0,EJ-200,rho_detour,1,random,1.26771557697,1.33464447121,1.30118002409,10934,1.16691006007
0,EJ-200,rho_detour,1,random,1.33464447121,1.40157336545,1.36810891833,8834,0.942791610635
0,EJ-200,rho_detour,1,random,1.40157336545,1.46850225969,1.43503781257,7452,0.795300326291
0,EJ-200,rho_detour,1,random,1.46850225969,1.53543115393,1.50196670681,6286,0.670861225317
0,EJ-200,rho_detour,1,random,1.53543115393,1.60236004817,1.56889560105,5672,0.605333259624
0,EJ-200,rho_detour,1,random,1.60236004817,1.66928894242,1.63582449529,3741,0.399251009213
0,EJ-200,rho_detour,1,random,1.66928894242,1.73621783666,1.70275338954,3043,0.324758305543
0,EJ-200,rho_detour,1,random,1.73621783666,1.8031467309,1.76968228378,2538,0.270863154606
0,EJ-200,rho_detour,1,random,1.8031467309,1.87007562514,1.83661117802,2147,0.229134433782
0,EJ-200,rho_detour,1,random,1.87007562514,1.93700451938,1.90354007226,1683,0.179614928764
0,EJ-200,rho_detour,1,random,1.93700451938,2.00393341362,1.9704689665,3599,0.384096333108
0,EJ-200,rho_detour,1,random,2.00393341362,2.07086230786,2.03739786074,1323,0.141194623146
0,EJ-200,rho_detour,1,random,2.07086230786,2.13779120211,2.10432675499,1147,0.122411362622
0,EJ-200,rho_detour,1,random,2.13779120211,2.20472009635,2.17125564923,937,0.0999995176777
0,EJ-200,rho_detour,1,random,2.20472009635,2.27164899059,2.23818454347,826,0.0881532567789
0,EJ-200,rho_detour,1,random,2.27164899059,2.33857788483,2.30511343771,743,0.0792952418725
0,EJ-200,rho_detour,1,random,2.33857788483,2.40550677907,2.37204233195,622,0.0663817502621
0,EJ-200,rho_detour,1,random,2.40550677907,2.47243567331,2.43897122619,546,0.0582707968538
0,EJ-200,rho_detour,1,random,2.47243567331,2.53936456756,2.50590012043,463,0.0494127819475
0,EJ-200,rho_detour,1,random,2.53936456756,2.6062934618,2.57282901468,486,0.0518674125842
0,EJ-200,rho_detour,1,random,2.6062934618,2.67322235604,2.63975790892,456,0.0486657204494
0,EJ-200,rho_detour,1,random,2.67322235604,2.74015125028,2.70668680316,486,0.0518674125842
0,EJ-200,rho_detour,1,random,2.74015125028,2.80708014452,2.7736156974,470,0.0501598434456
0,EJ-200,rho_detour,1,random,2.80708014452,2.87400903876,2.84054459164,387,0.0413018285393
0,EJ-200,rho_detour,1,random,2.87400903876,2.940937933,2.90747348588,376,0.0401278747565
