material_code,material,nominal_d_mm,bin_low_deg,bin_high_deg,bin_center_deg,count,density_per_deg
0,EJ-200,50,46.84,46.86,46.85,2,0.0067732321864
0,EJ-200,50,46.86,46.88,46.87,2,0.0067732321864
0,EJ-200,50,46.88,46.9,46.89,0,0
0,EJ-200,50,46.9,46.92,46.91,1,0.0033866160932
0,EJ-200,50,46.92,46.94,46.93,0,0
0,EJ-200,50,46.94,46.96,46.95,1,0.0033866160932
0,EJ-200,50,46.96,46.98,46.97,1,0.0033866160932
0,EJ-200,50,46.98,47,46.99,0,0
0,EJ-200,50,47,47.02,47.01,0,0
0,EJ-200,50,47.02,47.04,47.03,1,0.0033866160932
0,EJ-200,50,47.04,47.06,47.05,1,0.0033866160932
0,EJ-200,50,47.06,47.08,47.07,0,0
0,EJ-200,50,47.08,47.1,47.09,0,0
0,EJ-200,50,47.1,47.12,47.11,0,0
0,EJ-200,50,47.12,47.14,47.13,1,0.0033866160932
0,EJ-200,50,47.14,47.16,47.15,0,0
0,EJ-200,50,47.16,47.18,47.17,0,0
0,EJ-200,50,47.18,47.2,47.19,1,0.0033866160932
0,EJ-200,50,47.2,47.22,47.21,0,0
0,EJ-200,50,47.22,47.24,47.23,0,0
0,EJ-200,50,47.24,47.26,47.25,0,0
