x_mm,group,side_role,N,n_events,n_reached,reach,frac_excluded,npe_mean,mean_ns,rms_ns,fit_mu_ns,sigma_fit_ns,sigma_fit_err_ns,fit_valid,fit_method,display_bin_width_ns,channels
0,end_right,near,20,2000,2000,1.0,0.0,76.051,3.850299,0.234396,3.825832,0.216409,0.005496,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
0,top_nearest,top,20,2000,2000,1.0,0.0,365.9995,0.698814,0.073221,0.698538,0.077287,0.006035,True,fixed-25ps-gaussian-core,0.025,"(50,)"
50,end_left,far,4,2000,2000,1.0,0.0,66.171,3.34328,0.139142,3.333297,0.136504,0.004419,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
50,end_right,near,4,2000,2000,1.0,0.0,89.4345,2.936522,0.115178,2.933679,0.113761,0.005235,True,fixed-25ps-gaussian-core,0.025,"(12, 13, 14, 15)"
50,top_nearest,top,4,2000,2000,1.0,0.0,316.171,0.364327,0.045163,0.34008,0.007763,,False,mean-rms-ultrafine,0.025,"(53,)"
50,end_left,far,20,2000,2000,1.0,0.0,66.171,4.150636,0.284606,4.115767,0.245045,0.007044,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
50,end_right,near,20,2000,2000,1.0,0.0,89.4345,3.556824,0.200979,3.542655,0.1883,0.00646,True,fixed-25ps-gaussian-core,0.025,"(12, 13, 14, 15)"
50,top_nearest,top,20,2000,2000,1.0,0.0,316.171,0.666227,0.067549,0.663029,0.065065,0.006761,True,fixed-25ps-gaussian-core,0.025,"(53,)"
100,end_left,far,4,2000,2000,1.0,0.0,58.9925,3.546836,0.149677,3.539323,0.146623,0.00498,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
100,end_right,near,4,2000,2000,1.0,0.0,101.784,2.72471,0.107905,2.727846,0.106617,0.005898,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
100,top_nearest,top,4,2000,2000,1.0,0.0,369.322,0.37428,0.05095,0.357035,0.011082,,False,mean-rms-ultrafine,0.025,"(55,)"
100,end_left,far,20,2000,2000,1.0,0.0,58.9925,4.442262,0.329778,4.393927,0.288746,0.009275,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
100,end_right,near,20,2000,2000,1.0,0.0,101.784,3.284181,0.173895,3.276535,0.16522,0.004843,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
100,top_nearest,top,20,2000,2000,1.0,0.0,369.322,0.678183,0.067532,0.674339,0.067095,0.006502,True,fixed-25ps-gaussian-core,0.025,"(55,)"
150,end_left,far,4,2000,2000,1.0,0.0,50.2905,3.751916,0.160732,3.735377,0.153948,0.006204,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
150,end_right,near,4,2000,2000,1.0,0.0,126.876,2.521753,0.088134,2.526076,0.087499,0.00659,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
150,top_nearest,top,4,2000,2000,1.0,0.0,317.7435,0.365567,0.046918,0.340585,0.008067,,False,mean-rms-ultrafine,0.025,"(58,)"
150,end_left,far,20,2000,2000,1.0,0.0,50.2905,4.807621,0.420794,4.726544,0.359046,0.01136,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
150,end_right,near,20,2000,2000,1.0,0.0,126.876,2.996446,0.142294,2.987565,0.139951,0.004331,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
