scenario,wavelength_nm_created,folded_exit_angle_deg,finite_beta_edge_deg,d_axial_mm,group_velocity_mm_ns,propagation_time_ns,predicted_angular_penalty_ps,observed_edge_excess_ps,is_upper_5pct_angle_tail
visible_lower_764mm,524.335231505,39.6021746658,39.2537658785,49.500711105,172.08297082,0.345413213199,1.86201137705,-26.0669669827,0
visible_lower_764mm,635.553379097,40.449074345,40.0419630067,49.4998653492,178.607848971,0.347192546001,2.18377096045,-14.8141512858,0
visible_lower_764mm,755.953245215,40.5267083995,40.5856135009,49.4999466346,192.515394531,0.34223916735,-0.297748038508,3.66888380759,0
visible_lower_764mm,589.939714822,39.9592087909,39.7586921379,49.5005298463,176.092773868,0.345430700409,1.07001690988,-20.2365891587,0
visible_lower_764mm,472.584319904,44.9454561139,38.7581982828,49.6243007762,168.611204293,0.382566782878,38.4020449174,5.14446967261,0
visible_lower_764mm,473.041962105,39.3429995023,38.7630051834,49.7746535488,168.642952552,0.347932699417,3.12155719202,-30.5873642749,0
visible_lower_764mm,588.215950976,39.8300103168,39.7469759669,49.5000921853,175.993288821,0.344713333908,0.441780720453,-21.0952000144,0
visible_lower_764mm,599.704726053,40.8084923944,39.8236149246,49.5000202142,176.650251804,0.350661642971,5.36095473149,-14.1920899264,0
visible_lower_764mm,533.768932229,39.6505144344,39.3343016722,49.6129251615,172.687359649,0.346812504667,1.69328391221,-24.6337051341,0
visible_lower_764mm,541.426584669,40.5913035485,39.3976115225,49.5006733568,173.171207005,0.349887002814,6.52253657571,-20.0184816324,0
visible_lower_764mm,450.44841388,40.707609197,38.5159528483,49.5007550057,167.050898379,0.351853433636,12.1836656527,-26.8636091124,0
visible_lower_764mm,576.072705644,40.7267937922,39.6622059379,49.5948451706,175.283370755,0.351559088597,5.81575210612,-15.9822696612,0
visible_lower_764mm,515.478663041,39.6658184291,39.1755302278,49.4992350797,171.507326009,0.346144724035,2.62805639734,-26.1561124432,0
visible_lower_764mm,777.521676275,40.2351336607,40.658235201,49.4998364753,192.515394531,0.340583675418,-2.12696145597,1.64584890989,0
visible_lower_764mm,549.27073955,39.7311724286,39.4605973001,49.4995565194,173.66051668,0.345196554499,1.44493400367,-23.9919193412,0
visible_lower_764mm,513.642669369,39.4179599981,39.1589864765,49.7609728277,171.387021467,0.347230591998,1.38726550872,-27.2134951459,0
visible_lower_764mm,447.175189758,42.9203997146,38.4784712548,49.4999951917,166.816599655,0.366939496469,26.1607848929,-12.1063735446,0
visible_lower_764mm,535.577809975,39.4192606726,39.3494214117,49.5001688566,172.802196496,0.344630099781,0.370872818432,-25.8057520509,0
visible_lower_764mm,515.128609378,39.5866390287,39.1723846709,49.5002378579,171.484374962,0.346024723238,2.21626346461,-26.3168275902,0
visible_lower_764mm,502.377127581,39.160514027,39.05497207,49.4992638049,170.641470564,0.343258044405,0.559777733545,-30.2924477891,0
visible_lower_764mm,466.508814514,38.9301135254,38.6936228192,49.8708995808,168.187192384,0.348591003242,1.26341603045,-31.3195673335,0
visible_lower_764mm,517.68291099,43.2914393896,39.1952436429,49.79785315,171.651341583,0.361637027228,24.2341484237,-12.7005479491,0
visible_lower_764mm,527.981255416,41.8765945746,39.285229708,49.4999570373,172.317645538,0.357611705007,14.6638729274,-13.5235115553,0
visible_lower_764mm,555.897274302,40.7254778032,39.5123699265,49.5000717099,174.068877761,0.350639411443,6.63566055875,-17.9611157034,0
visible_lower_764mm,543.923353555,39.815698066,39.4178622941,49.4999467721,173.327674604,0.346421857246,2.13087693011,-23.2516167603,0
visible_lower_764mm,490.511789483,39.3893569927,38.9406418639,49.4998995518,169.842879909,0.34440818793,2.39802152456,-30.2976159299,0
visible_lower_764mm,601.523472638,39.9901710203,39.8354390064,49.4993074017,176.75293379,0.345616634255,0.824811068344,-19.0826582098,0
visible_lower_764mm,787.953535376,40.2115383226,40.6911488703,49.5003416547,192.515394531,0.340641239973,-2.41163981916,1.53258951285,0
visible_lower_764mm,652.642112438,41.7894668188,40.1357742679,49.4998187494,179.491776189,0.353881788872,9.15375995855,-6.83863113785,0
visible_lower_764mm,657.807064842,40.7457164747,40.1629111279,49.4999808231,179.752715719,0.348265235137,3.13909559853,-12.0766597378,0
visible_lower_764mm,415.620670779,41.6034263586,38.0939703696,49.4999775335,164.515846063,0.359808905097,20.0635421968,-22.5071711961,0
visible_lower_764mm,504.027579815,39.2950171009,39.0704830199,49.8385283403,170.751487509,0.347464370475,1.20277749874,-28.4866714193,0
visible_lower_764mm,408.536240197,38.1661472179,38.0016456012,49.5068155487,163.989415491,0.340970308075,0.86294594693,-42.1425917976,0
visible_lower_764mm,589.941634485,42.1038644309,39.7587051423,49.4990337207,176.092884487,0.356522647663,13.2151444805,-9.13342916096,0
visible_lower_764mm,678.790025946,40.7206659272,40.2676435419,49.5001119198,183.979449658,0.34615120478,2.3887479669,-6.45770216314,0
visible_lower_764mm,454.759094364,40.1753515725,38.5646501817,49.5001721559,167.357990673,0.350715054062,8.82798165108,-27.5586336025,0
visible_lower_764mm,588.183254023,40.2513502137,39.7467529791,49.4998686102,175.991399255,0.347816967243,2.71323064978,-17.9926580665,0
visible_lower_764mm,536.943025147,41.0021296404,39.3607649129,49.500360279,172.88860261,0.352603502483,9.06924630484,-17.708765577,0
visible_lower_764mm,703.409278376,41.0159325084,40.37992139,49.6000797071,188.835603125,0.352386046002,3.30778383352,7.57810464021,0
visible_lower_764mm,497.943199321,40.8198812544,39.0128313245,49.4990788707,170.344645167,0.351832986711,10.0005113998,-22.1439450794,0
visible_lower_764mm,451.948269921,39.1257235525,38.5329818282,49.5004357471,167.157961507,0.343716106441,3.16532228875,-34.8454952759,0
visible_lower_764mm,460.884666997,38.6882130331,38.6325684929,49.5003607091,167.79172509,0.341986819904,0.293536692276,-35.6676679361,0
