sample,material,material_code,source_type,source,nominal_d_mm,mean_d_direct_mm,mean_tprop_ns,se_tprop_ns,mirror_low_ns,mirror_high_ns,mirror_delta_ns,mirror_pull,n_total,var_tprop_ns2
first_by_source,EJ-230,2,1,scintillation,200,200.236301246,1.08805613826,0.000230522311352,1.08805244405,1.08805983248,-7.38842105918e-06,-0.0160253925441,20000,0.00106270443955
first_by_source,EJ-230,2,1,scintillation,500,499.762777855,2.69034439736,0.000386097018704,2.6900541241,2.69063467062,0.00058054652684,0.751814309249,20000,0.00298112001522
first_by_source,EJ-230,2,1,scintillation,700,699.660302656,3.75632705829,0.000486409271011,3.75609536723,3.75655874936,0.000463382126429,0.476329455507,20000,0.00473140639056
first_by_source,EJ-230,2,1,scintillation,900,899.592321167,4.82440207057,0.000599680359168,4.82345078638,4.82535335475,0.00190256837273,1.58631873101,20000,0.00719161143036
first_by_source,EJ-230,2,1,scintillation,1200,1199.46518445,6.4289205423,0.000857803485168,6.42769374892,6.43014733568,0.00245358675837,1.43015667387,20000,0.0147150647297
first_by_source,EJ-230,2,1,scintillation,1350,1349.6048273,7.23454929041,0.000811914761072,7.23415115409,7.23494742672,0.000796272622954,0.490367130351,20000,0.0131827931738
first_by_source,EJ-230,2,2,Cherenkov,50,49.9020325804,0.332783754155,0.000156320325396,0.332639611177,0.332927897134,-0.000288285956228,-0.922100038809,20000,0.00048867201055
first_by_source,EJ-230,2,2,Cherenkov,200,199.938058256,1.33887742429,0.000558645294017,1.3388212412,1.33893360739,-0.000112366190128,-0.100570246748,20000,0.00624106712142
first_by_source,EJ-230,2,2,Cherenkov,500,499.77314089,3.36711142775,0.00125166291169,3.3653774146,3.36884544091,-0.00346802630382,-1.38536752644,20000,0.03133006757
first_by_source,EJ-230,2,2,Cherenkov,700,699.704381744,4.73812808923,0.0019440693138,4.73811394666,4.7381422318,-2.82851403757e-05,-0.00727472528239,19996,0.0755654335043
first_by_source,EJ-230,2,2,Cherenkov,900,899.639069277,6.15962222619,0.00397289385754,6.15688349423,6.16236095816,0.00547746393441,0.689354426625,19886,0.313867051364
first_by_source,EJ-230,2,2,Cherenkov,1200,1199.62746266,8.5099935527,0.00823289220797,8.50778774342,8.51219936199,-0.00441161857156,-0.267926413958,18899,1.28087661178
first_by_source,EJ-230,2,2,Cherenkov,1350,1349.60330057,9.4941755181,0.00710336663505,9.49150975576,9.49684128045,0.00533152469381,0.375281536751,18510,0.933851415015
first_overall,EJ-200,0,0,first overall,50,50.2182675427,0.316203889227,0.000230919380814,0.315765088439,0.316642690015,-0.000877601576058,-1.90023369404,20000,0.00106636856119
first_overall,EJ-200,0,0,first overall,200,200.21412433,1.09769720272,0.000311069173973,1.09753083314,1.09786357229,-0.000332739150684,-0.534831443492,20000,0.00193508709187
first_overall,EJ-200,0,0,first overall,500,499.775923867,2.69987736436,0.000425949636948,2.69970232773,2.70005240099,-0.000350073255577,-0.410932684537,20000,0.00362829899814
first_overall,EJ-200,0,0,first overall,700,699.666219707,3.76488258143,0.000517083380199,3.76459244247,3.76517272039,0.000580277923572,0.561106724557,20000,0.00534696969112
first_overall,EJ-200,0,0,first overall,900,899.614662163,4.83087057565,0.000590943000949,4.83075348356,4.83098766774,-0.0002341841784,-0.198144472499,20000,0.00698357418015
first_overall,EJ-200,0,0,first overall,1200,1199.55813513,6.42802969043,0.000729043623633,6.42731877417,6.42874060668,-0.00142183250894,-0.975135412238,20000,0.010629029094
first_overall,EJ-200,0,0,first overall,1350,1349.59083881,7.22724166609,0.000756852057596,7.22644326269,7.22804006948,0.00159680679326,1.05490021282,20000,0.0114553550917
first_overall,EJ-204,1,0,first overall,50,50.379857755,0.30970824603,0.000238214278671,0.30959267853,0.30982381353,0.0002311349998,0.485140943459,20000,0.00113480735917
first_overall,EJ-204,1,0,first overall,200,200.204719002,1.09209927172,0.000263885648079,1.09207218738,1.09212635606,-5.41686851918e-05,-0.102636663998,20000,0.00139257343398
first_overall,EJ-204,1,0,first overall,500,499.769590363,2.69465011761,0.000394291940057,2.69412661252,2.6951736227,0.00104701017642,1.32770933165,20000,0.00310901174761
first_overall,EJ-204,1,0,first overall,700,699.674981687,3.76167638042,0.000487700911583,3.7616639296,3.76168883124,2.49016460221e-05,0.0255296283344,20000,0.00475656787882
first_overall,EJ-204,1,0,first overall,900,899.636465692,4.82901379075,0.000566624997666,4.82794802645,4.83007955506,-0.00213152860476,-1.88089884274,20000,0.00642063563183
first_overall,EJ-204,1,0,first overall,1200,1199.60481962,6.43249225268,0.000725870854544,6.43209241366,6.43289209171,0.000799678054926,0.550840449041,20000,0.0105367161725
first_overall,EJ-204,1,0,first overall,1350,1349.49244551,7.23190138016,0.00087226183519,7.23161761043,7.23218514989,-0.000567539459261,-0.32532631623,20000,0.0152152925012
first_overall,EJ-230,2,0,first overall,50,50.5096037272,0.302679014235,0.000237153530374,0.302663790639,0.302694237831,-3.0447192256e-05,-0.064192998114,20000,0.00112472345578
first_overall,EJ-230,2,0,first overall,200,200.20720912,1.08793155142,0.000233371686966,1.08787518523,1.08798791762,-0.000112732387749,-0.241529701427,20000,0.00108913796086
first_overall,EJ-230,2,0,first overall,500,499.770454593,2.69058247611,0.000365921707017,2.68999831255,2.69116663967,0.00116832712137,1.59641680032,20000,0.00267770611593
first_overall,EJ-230,2,0,first overall,700,699.64796477,3.75661128908,0.000488650041329,3.7561602563,3.75706232187,0.000902065578712,0.923018011274,20000,0.00477509970009
first_overall,EJ-230,2,0,first overall,900,899.619736616,4.82491445549,0.000553106723948,4.82415264986,4.82567626112,0.00152361125867,1.37732122274,20000,0.00611792910744
first_overall,EJ-230,2,0,first overall,1200,1199.45536053,6.42914080565,0.000859860944994,6.42782645435,6.43045515695,0.00262870260227,1.52856262258,20000,0.0147857381728
