material,source_type,nominal_d_mm,angle_low_deg,angle_high_deg,material_code,source,n_photons,mean_tprop_ns,var_tprop_ns2
EJ-230,1,50,0,15,2,scintillation,1851376,0.278454057158,0.156828638552
EJ-230,1,50,15,30,2,scintillation,5500491,0.292268510227,0.085956749998
EJ-230,1,50,30,39.2652479139,2,scintillation,4767679,0.327122165015,0.143749079907
EJ-230,1,50,39.2652479139,45,2,scintillation,3706141,0.383236626058,0.586360857022
EJ-230,1,50,45,60,2,scintillation,10313498,0.440166271184,0.247221921096
EJ-230,1,50,60,90,2,scintillation,11773862,0.986685520388,0.446375484837
EJ-230,1,50,90,120,2,scintillation,2256169,0.954570040261,0.224146162397
EJ-230,1,50,120,180.0000001,2,scintillation,1652281,0.431117990852,0.336198114607
EJ-230,1,200,0,15,2,scintillation,1519277,1.07861249693,0.187175872173
EJ-230,1,200,15,30,2,scintillation,4152638,1.14963313143,0.118628228858
EJ-230,1,200,30,39.2652479139,2,scintillation,3583591,1.28743036857,0.205466135715
EJ-230,1,200,39.2652479139,45,2,scintillation,2460361,1.45780614231,0.892682120517
EJ-230,1,200,45,60,2,scintillation,5656682,1.71477018684,0.442598153336
EJ-230,1,200,60,90,2,scintillation,2924951,2.79572971637,1.75937216874
EJ-230,1,200,90,120,2,scintillation,550803,2.94685087974,1.50595745628
EJ-230,1,200,120,180.0000001,2,scintillation,948494,1.64918457099,0.606170466279
EJ-230,1,500,0,15,2,scintillation,996932,2.68404656317,0.2639587459
EJ-230,1,500,15,30,2,scintillation,2433026,2.86651073913,0.223345564009
EJ-230,1,500,30,39.2652479139,2,scintillation,1867635,3.20822299757,0.407948850871
EJ-230,1,500,39.2652479139,45,2,scintillation,1153182,3.63224641823,1.73129654326
EJ-230,1,500,45,60,2,scintillation,2056864,4.20821018152,1.39189896973
EJ-230,1,500,60,90,2,scintillation,481664,5.46678836598,7.92784044382
EJ-230,1,500,90,120,2,scintillation,81135,6.05175469353,5.87366099535
EJ-230,1,500,120,180.0000001,2,scintillation,373388,4.00881296617,1.57631508656
EJ-230,1,700,0,15,2,scintillation,767748,3.75579281844,0.295023158622
EJ-230,1,700,15,30,2,scintillation,1717367,4.01050273938,0.30145265892
EJ-230,1,700,30,39.2652479139,2,scintillation,1206669,4.4906062971,0.605335329106
EJ-230,1,700,39.2652479139,45,2,scintillation,705581,5.11044517694,2.41728788589
EJ-230,1,700,45,60,2,scintillation,1081518,5.84947177821,2.45940285353
EJ-230,1,700,60,90,2,scintillation,197727,6.71781997167,17.3582663558
EJ-230,1,700,90,120,2,scintillation,31263,7.90192162119,12.4647477953
EJ-230,1,700,120,180.0000001,2,scintillation,209908,5.57438024944,2.75918568793
EJ-230,1,900,0,15,2,scintillation,586528,4.82891802205,0.319363370557
EJ-230,1,900,15,30,2,scintillation,1207085,5.15421768378,0.388539483555
EJ-230,1,900,30,39.2652479139,2,scintillation,783413,5.78056004609,0.841226840153
EJ-230,1,900,39.2652479139,45,2,scintillation,457917,6.65037596777,3.09141994796
