material_code,material,gun_x_mm,face_type,face,source_type,source,nominal_d_mm,n_events,mean_d_direct_mm,sd_d_direct_mm,mean_tprop_ns,se_tprop_cluster_ns,var_tprop_ns2,mean_path_length_mm,mean_rho_detour,mean_v_apparent_mm_per_ns
2,EJ-230,650,1,right,2,Cherenkov,50,10000,49.881418393,1.14462840082,0.332639611177,0.000225122944976,0.000506752723206,63.1157257361,1.26563698526,150.762654675
0,EJ-200,-650,0,left,0,first overall,50,10000,50.2149659887,1.37633386342,0.316642690015,0.000323910110009,0.0010490726759,60.0804369287,1.19785349971,160.478128074
0,EJ-200,-650,1,right,0,first overall,1350,10000,1349.58947676,0.937661080315,7.22644326269,0.0010618499741,0.0112741261496,1371.16024577,1.01598325403,186.79653033
0,EJ-200,-500,0,left,0,first overall,200,10000,200.23100369,0.865987546471,1.09786357229,0.000439026839636,0.00192725291464,208.310898029,1.04036434747,182.653839578
0,EJ-200,-500,1,right,0,first overall,1200,10000,1199.59514254,1.01753068026,6.42874060668,0.000977907724898,0.00956207888062,1219.80249894,1.01684542856,186.641021682
0,EJ-200,-200,0,left,0,first overall,500,10000,499.785469945,0.453083026002,2.70005240099,0.000596681961893,0.00355993760713,512.31351014,1.02506653021,185.189955928
0,EJ-200,-200,1,right,0,first overall,900,10000,899.599284733,4.08059546984,4.83098766774,0.000849471964059,0.0072153045746,916.641561696,1.01894371179,186.266917185
0,EJ-200,0,0,left,0,first overall,700,10000,699.649195113,4.35965639511,3.76459244247,0.000744961830261,0.00554912631734,714.301532719,1.02094280131,185.913835808
0,EJ-200,0,1,right,0,first overall,700,10000,699.6832443,1.00768446742,3.76517272039,0.000717309389152,0.0051448130649,714.411635849,1.02105018754,185.895694266
0,EJ-200,200,0,left,0,first overall,900,10000,899.630039594,1.60203224346,4.83075348356,0.000821737125704,0.0067518437857,916.597127108,1.01886072309,186.281989478
0,EJ-200,200,1,right,0,first overall,500,10000,499.766377789,1.20296120367,2.69970232773,0.000608032079101,0.00369666038915,512.247086518,1.02497470853,185.209505911
0,EJ-200,500,0,left,0,first overall,1200,10000,1199.52112772,8.82441498456,6.42731877417,0.00108153358812,0.0116959793074,1219.53271751,1.01668430386,186.67025934
0,EJ-200,500,1,right,0,first overall,200,10000,200.19724497,1.29141425824,1.09753083314,0.000440807847101,0.0019429212691,208.247763416,1.04021894912,182.675503812
0,EJ-200,650,0,left,0,first overall,1350,10000,1349.59220085,0.807752971678,7.22804006948,0.00107878393613,0.0116365840338,1371.46322719,1.01620556003,186.756865841
0,EJ-200,650,1,right,0,first overall,50,10000,50.2215690967,1.58076889814,0.315765088439,0.000329207050922,0.00108366444648,59.913918996,1.19436406727,160.971788902
1,EJ-204,-650,0,left,0,first overall,50,10000,50.3975112023,1.51958831027,0.30959267853,0.00033535280592,0.00112450258288,58.7427532123,1.16723391349,164.870536292
1,EJ-204,-650,1,right,0,first overall,1350,10000,1349.47430817,10.2627184417,7.23218514989,0.00123584146196,0.0152715138868,1372.24972329,1.01688674463,186.635030601
1,EJ-204,-500,0,left,0,first overall,200,10000,200.205684175,1.28374445695,1.09212635606,0.000370316386664,0.0013712051281,207.222306791,1.03505279148,183.513510846
1,EJ-204,-500,1,right,0,first overall,1200,10000,1199.5911288,1.26600445913,6.43209241366,0.00103671232572,0.0107466496905,1220.4384777,1.01737882011,186.548108749
1,EJ-204,-200,0,left,0,first overall,500,10000,499.774096955,0.956261491928,2.69412661252,0.000552784271879,0.00305539894192,511.189138817,1.02284023159,185.580460703
1,EJ-204,-200,1,right,0,first overall,900,10000,899.633714793,1.10252692178,4.83007955506,0.000809706191844,0.00655558554698,916.469254523,1.01871356612,186.307392641
1,EJ-204,0,0,left,0,first overall,700,10000,699.68303203,1.15078359491,3.7616639296,0.000686007423376,0.00470559124308,713.745870648,1.02009865819,186.063406479
1,EJ-204,0,1,right,0,first overall,700,10000,699.666931345,1.40040796068,3.76168883124,0.000693399258514,0.00480754451455,713.750595538,1.0201291639,186.058981992
1,EJ-204,200,0,left,0,first overall,900,10000,899.639216591,0.814244173039,4.82794802645,0.000792862809577,0.00628568571667,916.06481389,1.01825808698,186.388899125
1,EJ-204,200,1,right,0,first overall,500,10000,499.76508377,1.03065951172,2.6951736227,0.000562400288707,0.00316262455329,511.387800687,1.02325677248,185.507574449
1,EJ-204,500,0,left,0,first overall,1200,10000,1199.61851044,0.414349700933,6.43289209171,0.00101625860076,0.0103267826546,1220.59021027,1.01748198961,186.527508433
1,EJ-204,500,1,right,0,first overall,200,10000,200.203753828,1.58164870034,1.09207218738,0.000376042969376,0.00141394173986,207.212028713,1.03501826466,183.522651704
1,EJ-204,650,0,left,0,first overall,1350,10000,1349.51058284,9.04908809458,7.23161761043,0.00123128336195,0.0151590711155,1372.14203718,1.01676920381,186.657256951
1,EJ-204,650,1,right,0,first overall,50,10000,50.3622043078,1.66306945465,0.30982381353,0.000338411976463,0.00114511213547,58.7866092438,1.16884895665,164.637104771
2,EJ-230,-650,0,left,0,first overall,50,10000,50.5415069838,1.64270794354,0.302694237831,0.00033350804074,0.00111216490477,57.4338288492,1.13803131488,169.067186117
2,EJ-230,-650,1,right,0,first overall,1350,10000,1349.59733318,0.746981431563,7.23443660689,0.00114740135358,0.0131639821322,1372.67691938,1.01710120302,186.597651226
2,EJ-230,-500,0,left,0,first overall,200,10000,200.210379342,1.28485089062,1.08798791762,0.000329583344302,0.00108614318323,206.437070948,1.03111349787,184.176367938
2,EJ-230,-500,1,right,0,first overall,1200,10000,1199.37455187,16.1629425758,6.42782645435,0.00131858180837,0.0173848411957,1219.62904579,1.0168909356,186.634259406
2,EJ-230,-200,0,left,0,first overall,500,10000,499.766599735,1.22285415058,2.68999831255,0.000514553967719,0.00264739309117,510.405826668,1.02128856138,185.852229608
2,EJ-230,-200,1,right,0,first overall,900,10000,899.597719188,3.25986571061,4.82415264986,0.000779484793061,0.00607535782959,915.34467131,1.01750448806,186.523126825
2,EJ-230,0,0,left,0,first overall,700,10000,699.629075187,6.90583341254,3.7561602563,0.000737664254333,0.00544094137266,712.701592327,1.0186829791,186.31454217
2,EJ-230,0,1,right,0,first overall,700,10000,699.666854354,2.0011084119,3.75706232187,0.000641067000743,0.00410925802751,712.87275211,1.01887459125,186.278663055
2,EJ-230,200,0,left,0,first overall,900,10000,899.641754043,0.911000304987,4.82567626112,0.000784927799032,0.00616050038529,915.633764452,1.01777588365,186.476149142
2,EJ-230,200,1,right,0,first overall,500,10000,499.774309451,0.934884296239,2.69116663967,0.000520412333605,0.00270801914069,510.627507465,1.02171697502,185.776406507
2,EJ-230,500,0,left,0,first overall,1200,10000,1199.53616918,7.85350683962,6.43045515695,0.00110398613829,0.01218663515,1220.12782124,1.01716773938,186.585699366
2,EJ-230,500,1,right,0,first overall,200,10000,200.204038897,1.36799853195,1.08787518523,0.000330490841428,0.00109213273848,206.415680872,1.0310358812,184.189617341
2,EJ-230,650,0,left,0,first overall,1350,10000,1349.59759603,0.828892399448,7.23552731251,0.00115570361851,0.0133551728875,1372.88387212,1.01725419945,186.570191534
2,EJ-230,650,1,right,0,first overall,50,10000,50.4777004706,1.73726129654,0.302663790639,0.00033725298314,0.00113728200679,57.4280517362,1.13923057457,168.886762992
