cell_id,material,x_mm,face,source_type,source,nominal_d_mm,n_photons,mean_d_direct_mm,sd_d_direct_mm,mean_tprop_ns,se_tprop_cluster_ns,var_tprop_ns2,mean_path_length_mm,mean_rho_detour,mean_v_apparent_mm_per_ns
EJ230_xm200,EJ-230,-200,left,2,Cherenkov,500.0,142603,499.8241241124194,0.46739156041226115,4.20384745772643,0.0046830779001247585,2.9681734440180385,797.6454692936702,1.5958102766174977,127.30566887393671
EJ230_xm200,EJ-230,-200,right,2,Cherenkov,900.0,53381,899.6393577380804,2.6750289777517264,7.182129380051985,0.009380899806229987,4.322745593608886,1362.7515751218648,1.5147472256493761,131.6689219492518
EJ230_xp0,EJ-230,0,left,1,scintillation,700.0,2957937,686.0652832854245,96.63622643925414,4.709847402250768,0.0009179567495627029,2.4789476839907465,893.6607998773566,1.3153431848203374,153.65056130532489
EJ230_xp0,EJ-230,0,right,1,scintillation,700.0,2959844,685.9843668545122,96.87899605871314,4.708299562013034,0.000905809848855498,2.4649520703023704,893.3671182297887,1.316888592656918,153.65572489997686
EJ230_xp0,EJ-230,0,left,2,Cherenkov,700.0,83874,699.7246977306801,0.5688609647114996,5.690402127074785,0.0069471582716013934,3.7596154832858844,1079.7081489533928,1.543020181331502,130.19996421933175
EJ230_xp0,EJ-230,0,right,2,Cherenkov,700.0,83394,699.7239398906727,0.7114861789732256,5.701209869725748,0.0070934324842225,3.9076280586648693,1081.7586411517336,1.5459518225787485,130.1056740502278
EJ230_xp200,EJ-230,200,left,1,scintillation,900.0,1925053,881.0882321434814,125.38720782686603,5.90284301551817,0.0012921835884028038,3.2662585780135487,1120.0270815123288,1.2861417249120728,156.49204259114225
EJ230_xp200,EJ-230,200,right,1,scintillation,500.0,4722202,490.65355486359465,69.02318932709923,3.5058739368138894,0.0006237012457561415,1.7598407608370845,665.2098308119814,1.3682585097666717,149.26218596833365
EJ230_xp200,EJ-230,200,left,2,Cherenkov,900.0,52933,899.668614704038,0.5936589897709025,7.171212662739563,0.009308091801497557,4.136064511216254,1360.6802943878176,1.5124001942569867,131.7464722195545
EJ230_xp200,EJ-230,200,right,2,Cherenkov,500.0,142200,499.8156095640567,0.6434048101774007,4.203602768562328,0.00473138316792103,3.0390621383231924,797.5993351660505,1.5957410874300335,127.42216208164673
EJ230_xp500,EJ-230,500,left,1,scintillation,1200.0,1110667,1173.4599334925242,168.2051309641096,7.701572959319805,0.001941850001759585,4.25479254898768,1461.3252042412,1.2594491011723148,158.39369945441095
EJ230_xp500,EJ-230,500,right,1,scintillation,200.0,10911146,197.36624166178433,30.294707822164206,1.6368820021757198,0.0002917315419840328,0.9001149581975891,310.57113317730676,1.5824688880020767,136.76941897820345
EJ230_xp500,EJ-230,500,left,2,Cherenkov,1200.0,29710,1199.6280185014393,0.5417221412550479,9.391448699956502,0.011866115852473075,3.814548586790437,1781.9526340685222,1.485410437433886,131.74289894539635
EJ230_xp500,EJ-230,500,right,2,Cherenkov,200.0,355442,200.30116226390658,0.9250844879928957,1.9947335634640049,0.0024071374301763196,1.9150086505187502,378.48321437237183,1.8893975035829393,116.81061676952169
EJ230_xp650,EJ-230,650,left,1,scintillation,1350.0,888152,1318.9143607952506,191.15954622118934,8.53456461086117,0.002189441145044792,4.351302721225238,1619.3799796646124,1.2421705237211824,159.46092725863969
EJ230_xp650,EJ-230,650,right,1,scintillation,50.0,20923329,52.20331076246405,15.628540974570276,0.5767874747415582,0.00014719514960006124,0.38492536937857447,109.433312742416,2.102882510929134,123.10237428487552
EJ230_xp650,EJ-230,650,left,2,Cherenkov,1350.0,26397,1349.6214482310202,0.375930257521958,10.129610037089023,0.010933419717194214,2.964725139333538,1922.013007260975,1.4241024368317854,135.7255241144663
EJ230_xp650,EJ-230,650,right,2,Cherenkov,50.0,682394,52.56562009441855,2.6212507651425705,0.6884512927417471,0.0010209757535970963,0.6611012866723759,130.6269423718841,2.4863891699816683,105.93945420714843
