cell_id,material,x_mm,face,source_type,source,nominal_d_mm,n_photons,mean_d_direct_mm,sd_d_direct_mm,mean_tprop_ns,se_tprop_cluster_ns,var_tprop_ns2,mean_path_length_mm,mean_rho_detour,mean_v_apparent_mm_per_ns,boundary_category,stratum_n,stratum_mean_tprop_ns,stratum_se_cluster_ns,stratum_var_tprop_ns2
EJ200_xm500,EJ-200,-500,right,2,Cherenkov,1200.0,84492,1199.6258561298416,0.6211469864746942,10.176028347205209,0.013442155010525326,14.370105053692555,1930.820358819836,1.6095048372451315,125.85299132434787,3-5,56,6.351744917530285,0.005994050305876519,0.0017745783495755063
EJ200_xm500,EJ-200,-500,right,2,Cherenkov,1200.0,84492,1199.6258561298416,0.6211469864746942,10.176028347205209,0.013442155010525326,14.370105053692555,1930.820358819836,1.6095048372451315,125.85299132434787,6-10,134,6.522688616366251,0.03901727912084645,0.20038262979002752
EJ200_xm500,EJ-200,-500,right,2,Cherenkov,1200.0,84492,1199.6258561298416,0.6211469864746942,10.176028347205209,0.013442155010525326,14.370105053692555,1930.820358819836,1.6095048372451315,125.85299132434787,>10,84280,10.185384438766818,0.013393106403229084,14.371025688545174
EJ200_xm200,EJ-200,-200,left,1,scintillation,500.0,7200383,492.2212087676497,65.71280558586314,3.8161350971582277,0.0008623530646348265,5.3762339351130475,724.0753409828978,1.4861272236378944,144.86782807174114,0,114656,0.22104999501125885,0.002132695507818931,0.5159113012960702
EJ200_xm200,EJ-200,-200,left,1,scintillation,500.0,7200383,492.2212087676497,65.71280558586314,3.8161350971582277,0.0008623530646348265,5.3762339351130475,724.0753409828978,1.4861272236378944,144.86782807174114,1-2,92523,2.5781509156212503,0.0015334629369007239,0.21382123235522776
EJ200_xm200,EJ-200,-200,left,1,scintillation,500.0,7200383,492.2212087676497,65.71280558586314,3.8161350971582277,0.0008623530646348265,5.3762339351130475,724.0753409828978,1.4861272236378944,144.86782807174114,3-5,291159,2.704852122017319,0.000602728778091417,0.1042897962639886
EJ200_xm200,EJ-200,-200,left,1,scintillation,500.0,7200383,492.2212087676497,65.71280558586314,3.8161350971582277,0.0008623530646348265,5.3762339351130475,724.0753409828978,1.4861272236378944,144.86782807174114,6-10,679439,2.864562478718819,0.0004517680408784504,0.1369195654000066
EJ200_xm200,EJ-200,-200,left,1,scintillation,500.0,7200383,492.2212087676497,65.71280558586314,3.8161350971582277,0.0008623530646348265,5.3762339351130475,724.0753409828978,1.4861272236378944,144.86782807174114,>10,6022606,4.064671308220186,0.0009879764439543943,5.900787100597782
EJ200_xm200,EJ-200,-200,right,1,scintillation,900.0,3849227,884.7506414474694,115.61470798028755,6.36632541663332,0.001389063804399797,7.488434608102928,1207.9662521977284,1.3793933304029486,150.8230671443118,0,58502,0.21398808048517065,0.003987493243781438,0.9350113819804241
EJ200_xm200,EJ-200,-200,right,1,scintillation,900.0,3849227,884.7506414474694,115.61470798028755,6.36632541663332,0.001389063804399797,7.488434608102928,1207.9662521977284,1.3793933304029486,150.8230671443118,1-2,25135,4.491163360073345,0.006759603572323831,1.129449397798222
