material_code,material,source_type,source,face_type,face,d_low_mm,d_high_mm,d_center_mm,n_photons,mean_tprop_ns,var_tprop_ns2,iid_se_tprop_ns
0,EJ-200,1,scintillation,1,right,270,280,275,3483,2.31986280256,3.22252788139,0.0304173660741
0,EJ-200,1,scintillation,1,right,280,290,285,3809,2.37290050645,2.91422350999,0.0276602398958
0,EJ-200,1,scintillation,1,right,290,300,295,2684,2.49795620784,3.62915631779,0.0367715199408
0,EJ-200,1,scintillation,1,right,300,310,305,3520,2.45444929163,2.072376118,0.0242640313085
0,EJ-200,1,scintillation,1,right,310,320,315,2530,2.57637917667,3.40260074692,0.0366728984537
0,EJ-200,1,scintillation,1,right,320,330,325,3046,2.6606669854,3.25842059975,0.0327068426689
0,EJ-200,1,scintillation,1,right,330,340,335,2074,2.75248514908,4.4511986053,0.0463269928111
0,EJ-200,1,scintillation,1,right,340,350,345,3062,2.77263765856,2.64764329913,0.029405403574
0,EJ-200,1,scintillation,1,right,350,360,355,1999,2.87166137845,3.84549445894,0.0438601081168
0,EJ-200,1,scintillation,1,right,360,370,365,3028,2.91146842765,3.10423986112,0.032018405483
0,EJ-200,1,scintillation,1,right,370,380,375,1989,3.0061703638,4.51706165014,0.0476552352109
0,EJ-200,1,scintillation,1,right,380,390,385,3200,3.00630085941,2.48374848687,0.0278598528738
0,EJ-200,1,scintillation,1,right,390,400,395,1880,3.07120024415,3.51186390574,0.0432205126742
0,EJ-200,1,scintillation,1,right,400,410,405,3110,3.19018644459,3.65912665417,0.0343011378237
0,EJ-200,1,scintillation,1,right,410,420,415,1820,3.21366151908,3.73146301206,0.0452797350062
0,EJ-200,1,scintillation,1,right,420,430,425,2966,3.32251797179,3.74216399477,0.0355202353446
0,EJ-200,1,scintillation,1,right,430,440,435,1794,3.41844022724,4.47804620858,0.0499612235848
0,EJ-200,1,scintillation,1,right,440,450,445,2940,3.42021579482,3.0546010494,0.0322332118904
0,EJ-200,1,scintillation,1,right,450,460,455,2278,3.63928538376,5.09310338448,0.0472840193204
0,EJ-200,1,scintillation,1,right,460,470,465,3823,3.61058192636,4.04052282227,0.032509974816
0,EJ-200,1,scintillation,1,right,470,480,475,2106,3.73058305859,6.03759870856,0.0535430293033
0,EJ-200,1,scintillation,1,right,480,490,485,5132,3.67806055692,3.81504938517,0.0272650788658
0,EJ-200,1,scintillation,1,right,490,500,495,4955577,3.81513522843,4.77137201779,0.000981238376689
0,EJ-200,1,scintillation,1,right,500,510,505,2072173,4.02225124596,6.27680228402,0.00174042863113
0,EJ-200,1,scintillation,1,right,510,520,515,2719,3.88282674717,4.00833098074,0.0383952220805
0,EJ-200,1,scintillation,1,right,520,530,525,3487,3.91233174843,3.58261231592,0.0320533874803
0,EJ-200,1,scintillation,1,right,530,540,535,1785,4.090838778,5.13626582843,0.053641959769
0,EJ-200,1,scintillation,1,right,540,550,545,2925,4.11402975663,3.7588533616,0.0358479856107
0,EJ-200,1,scintillation,1,right,550,560,555,1519,4.13996781181,4.61983179047,0.055148562242
0,EJ-200,1,scintillation,1,right,560,570,565,2635,4.25265488529,5.09077189753,0.043954314291
0,EJ-200,1,scintillation,1,right,570,580,575,1499,4.38063983125,6.78829829625,0.0672945111555
0,EJ-200,1,scintillation,1,right,580,590,585,2781,4.33705631702,4.26021033687,0.0391394777528
0,EJ-200,1,scintillation,1,right,590,600,595,1324,4.45391653626,5.17800000272,0.062536998129
0,EJ-200,1,scintillation,1,right,600,610,605,2536,4.44357014418,3.72460562845,0.038323531559
0,EJ-200,1,scintillation,1,right,610,620,615,1299,4.74933614268,6.94349813147,0.0731113134233
