event_id,detected,matched_boundary_detection,orphan_standard_SD,orphan_fraction_of_detected
197,6561,6461,100,0.015241579027587259
198,6542,6447,95,0.014521553041883217
199,4816,4742,74,0.015365448504983389
200,8448,8314,134,0.015861742424242424
201,4840,4764,76,0.015702479338842976
202,4829,4744,85,0.017601987989231724
203,5023,4962,61,0.012144136969938284
204,5496,5398,98,0.017831149927219795
205,5775,5678,97,0.016796536796536796
206,5002,4908,94,0.01879248300679728
207,5671,5584,87,0.01534120966319873
208,5667,5572,95,0.016763719781189342
209,4708,4655,53,0.011257434154630416
210,5209,5152,57,0.010942599347283548
211,4632,4561,71,0.015328151986183074
212,5691,5601,90,0.0158144438587243
213,7931,7802,129,0.016265288109948303
214,5377,5307,70,0.01301841175376604
215,7029,6936,93,0.013230900554844216
216,8795,8672,123,0.013985218874360432
217,4399,4324,75,0.017049329393043874
218,6068,5968,100,0.016479894528675015
219,5578,5491,87,0.01559698816780208
220,6082,6002,80,0.013153567905294311
221,4885,4826,59,0.012077789150460594
222,4300,4235,65,0.015116279069767442
223,4820,4737,83,0.017219917012448134
224,4849,4759,90,0.01856052794390596
225,6529,6424,105,0.016082095267269107
226,4759,4692,67,0.014078587938642572
227,5081,5009,72,0.014170438889982286
228,5135,5069,66,0.012852969814995131
