event_id,produced_scint,edep_total_MeV,edep_optical_MeV,edep_nonoptical_MeV,photon_equivalent_energy_MeV,equivalent_minus_nonoptical_MeV
109,20491,1.972634068000973,0.030877171449704977,1.9417568965512682,1.9702884615384615,0.028531564987193336
110,15321,1.4518830773751628,0.0232905589971323,1.4285925183780304,1.4731730769230769,0.0445805585450465
111,16271,1.5766336294826888,0.024962354486862893,1.551671274995826,1.5645192307692308,0.012847955773404918
112,34722,3.3580645823409156,0.052203837150049885,3.305860745190866,3.338653846153846,0.03279310096298005
113,16687,1.6112634365853071,0.025614412843397775,1.5856490237419094,1.6045192307692309,0.01887020702732145
114,21700,2.105752527024345,0.03251947526370616,2.0732330517606385,2.0865384615384617,0.01330540977782313
115,25987,2.500817393863958,0.03891149858253271,2.4619058952814252,2.49875,0.03684410471857458
116,17309,1.6497584333232753,0.026512136289460433,1.6232462970338148,1.664326923076923,0.04108062604310825
117,19587,1.8886277063818095,0.029827746528185005,1.8587999598536245,1.8833653846153846,0.024565424761760157
118,15679,1.5076558399178466,0.02382281966972535,1.4838330202481211,1.5075961538461538,0.023763133598032615
119,17125,1.6602764242747565,0.025879351031249116,1.6343970732435074,1.6466346153846154,0.01223754214110806
120,18250,1.717963269642574,0.02746404570763646,1.6904992239349375,1.7548076923076923,0.06430846837275483
121,17625,1.7154189726619609,0.02697079686798985,1.688448175793971,1.6947115384615385,0.00626336266756744
122,18838,1.8103512765918506,0.028532211733852102,1.7818190648579986,1.811346153846154,0.02952708898815537
123,18828,1.7917322726818132,0.0285025918297608,1.7632296808520525,1.8103846153846155,0.04715493453256303
124,16723,1.6128105653877542,0.025770796176124388,1.5870397692116298,1.6079807692307693,0.020941000019139455
125,17206,1.645372591187022,0.026060783895268495,1.6193118072917536,1.654423076923077,0.03511126963132338
126,31008,2.9796667060639255,0.04688122869201124,2.9327854773719144,2.9815384615384617,0.048752984166547275
127,22868,2.170498340583933,0.03464658172380422,2.1358517588601287,2.1988461538461537,0.06299439498602499
128,16313,1.58567168793593,0.02520151839560446,1.5604701695403256,1.5685576923076923,0.008087522767366684
129,21282,2.037328111472751,0.03210155975570294,2.005226551717048,2.046346153846154,0.041119602129105814
130,16829,1.6313445391086698,0.025547549237556148,1.6057969898711137,1.6181730769230769,0.012376087051963136
131,17277,1.6682856509251078,0.026564073195367428,1.6417215777297405,1.66125,0.019528422270259416
132,20507,1.9846411657420966,0.030823984328334615,1.953817181413762,1.971826923076923,0.01800974166316105
