run_tag,event_id,track_id,global_id,detected_end_side,n_reflections_scint_air,n_reflections_air_reflector,n_total_internal_reflections,visited_air_gap,visited_reflector_boundary,first_detection_time_ns,gun_x_mm
x0mm,0,770,0,0,65,0,65,1,0,3.86402478037,0
x0mm,0,739,13,1,120,0,120,1,0,6.37466903911,0
x0mm,0,709,9,1,26,0,26,1,0,3.28128668111,0
x0mm,0,705,2,0,5,0,5,1,0,3.82070735322,0
x0mm,0,679,13,1,8,0,8,1,0,6.7925441576,0
x0mm,0,675,8,1,96,0,96,1,0,6.38255215709,0
x0mm,0,673,15,1,69,0,69,1,0,4.88221382838,0
x0mm,0,659,11,1,73,0,73,1,0,5.69328641974,0
x0mm,0,637,5,0,42,0,42,1,0,5.29044465764,0
x0mm,0,3080,14,1,8,0,8,1,0,5.70351616516,0
x0mm,0,611,3,0,69,0,69,1,0,4.41491488183,0
x0mm,0,609,7,0,12,11,7,1,1,5.9339721688,0
x0mm,0,596,4,0,12,0,12,1,0,6.15814661482,0
x0mm,0,581,5,0,66,0,66,1,0,9.28841706388,0
x0mm,0,564,3,0,21,0,21,1,0,4.02516931231,0
x0mm,0,538,5,0,66,0,66,1,0,7.22355123702,0
x0mm,0,513,6,0,122,0,122,1,0,10.4465400732,0
x0mm,0,507,13,1,54,0,54,1,0,3.49119294466,0
x0mm,0,500,14,1,86,0,86,1,0,6.37119296976,0
x0mm,0,498,10,1,32,0,32,1,0,4.48367750972,0
x0mm,0,487,2,0,60,0,60,1,0,3.73400494982,0
x0mm,0,485,1,0,57,0,57,1,0,4.00333595163,0
x0mm,0,477,4,0,111,0,111,1,0,5.89620187262,0
x0mm,0,475,10,1,43,0,43,1,0,4.12051741126,0
x0mm,0,473,2,0,24,0,24,1,0,4.13104831742,0
x0mm,0,441,0,0,21,0,21,1,0,7.15791602771,0
x0mm,0,427,14,1,20,0,20,1,0,8.60601995997,0
x0mm,0,410,1,0,17,0,17,1,0,4.79709754166,0
x0mm,0,388,11,1,13,0,13,1,0,5.55450707614,0
x0mm,0,381,4,0,21,0,21,1,0,4.42669019111,0
x0mm,0,366,7,0,53,0,53,1,0,8.80981766306,0
x0mm,0,364,10,1,76,0,76,1,0,4.20878668376,0
x0mm,0,351,1,0,62,0,62,1,0,5.1307784037,0
x0mm,0,344,11,1,24,0,24,1,0,13.3139299319,0
x0mm,0,342,1,0,117,0,117,1,0,7.8920395831,0
x0mm,0,340,7,0,15,0,15,1,0,2.92449752227,0
x0mm,0,333,14,1,96,0,96,1,0,9.73126894809,0
x0mm,0,330,6,0,79,0,79,1,0,11.7535230583,0
x0mm,0,319,11,1,16,19,14,1,1,6.32050751209,0
x0mm,0,310,14,1,103,0,103,1,0,9.323967272,0
x0mm,0,308,15,1,24,0,24,1,0,8.84806966842,0
x0mm,0,275,4,0,18,0,18,1,0,3.92686438938,0
x0mm,0,271,13,1,64,0,64,1,0,6.48083681549,0
x0mm,0,270,0,0,25,0,25,1,0,3.97444407916,0
x0mm,0,258,13,1,11,0,11,1,0,3.51714561429,0
x0mm,0,241,1,0,34,0,34,1,0,6.73064024256,0
x0mm,0,240,6,0,39,0,39,1,0,3.89288650822,0
x0mm,0,235,12,1,20,0,20,1,0,4.38352878511,0
x0mm,0,225,14,1,24,0,24,1,0,3.11245785229,0
x0mm,0,204,9,1,27,0,27,1,0,5.71101765654,0
x0mm,0,192,5,0,118,0,118,1,0,10.8341316406,0
x0mm,0,180,9,1,10,0,10,1,0,3.86865185822,0
