event_id,produced_scint,produced_optical,detected_left,detected_right,detected_top,edep_total_MeV,edep_nonionizing_MeV,edep_ionizing_MeV,edep_optical_MeV,gun_x_mm
997,15534,16600,295,308,3713,1.5056504090197824,0.0,1.5056504090197824,0.024025683596271972,0.0
998,22962,23998,448,452,5371,2.2149245942595233,0.0,2.2149245942595233,0.03478696723850081,0.0
999,21860,23127,444,378,5311,2.1056635444355805,0.0,2.1056635444355805,0.03360872536186636,0.0
1000,17367,18437,325,354,4128,1.6758011574038125,0.0,1.6758011574038125,0.026550735994323203,0.0
1001,25801,26874,557,531,6087,2.5020882125090034,0.0,2.5020882125090034,0.039120450174658324,0.0
1002,16962,17998,340,311,4017,1.6334943154547645,0.0,1.6334943154547645,0.025906442423195116,0.0
1003,17137,18182,349,363,4073,1.6494792913359817,0.0,1.6494792913359817,0.026348331549240836,0.0
1004,14151,15165,293,252,3437,1.3769673944283685,0.0,1.3769673944283685,0.022033870577504732,0.0
1005,17227,18243,351,337,4153,1.640114104255204,0.0,1.640114104255204,0.026183952598365652,0.0
1006,21046,22048,435,407,4965,2.045213878960089,0.0,2.045213878960089,0.03193523973412408,0.0
1007,24011,25243,466,482,5743,2.3106652895160456,0.0,2.3106652895160456,0.036475039613964935,0.0
1008,18354,19412,342,388,4334,1.7788227737631472,0.0,1.7788227737631472,0.028174705623602827,0.0
1009,24864,26033,456,485,5826,2.384559766350932,0.0,2.384559766350932,0.03754476973970859,0.0
1010,24028,25111,493,452,5685,2.295310450559762,0.0,2.295310450559762,0.03653241778292235,0.0
1011,25643,26831,485,489,6101,2.468931067737116,0.0,2.468931067737116,0.038592393283665684,0.0
1012,17184,18289,364,336,4044,1.6666732598509404,0.0,1.6666732598509404,0.02613794033854849,0.0
1013,19242,20254,381,418,4447,1.8638002128964506,0.0,1.8638002128964506,0.029292689250998465,0.0
1014,16749,17761,349,345,3980,1.595742075310117,0.0,1.595742075310117,0.02534233543415407,0.0
1015,16755,17766,346,327,4007,1.600158557814896,0.0,1.600158557814896,0.02571470022865407,0.0
1016,16589,17619,333,337,3968,1.6141787650331718,0.0,1.6141787650331718,0.02519826247110091,0.0
1017,20437,21468,410,385,4905,1.9689498659287892,0.0,1.9689498659287892,0.031180694614911297,0.0
1018,19763,20994,359,392,4806,1.918463874463949,0.0,1.918463874463949,0.03016747915220275,0.0
1019,20145,21206,358,425,4757,1.9411455852752688,0.0,1.9411455852752688,0.030350819054231138,0.0
